

Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
29           0.006190             0.006912            
30           0.006190             0.006912            
31           0.006190             0.006912            
32           0.006190             0.006912            
33           0.006190             0.006912            
34           0.006190             0.006912            
35           0.006190             0.006912            
36           0.006190             0.006912            
37           0.006190             0.006912            
38           0.006190             0.006912            
39           0.006190             0.006912            
40           0.006974             0.006890            
41           0.007210             0.007124            
42           0.007210             0.007124            
43           0.007210             0.007124            
44           0.007210             0.007124            
45           0.007210             0.007124            
46           0.007210             0.007124            
47           0.007210             0.007124            
48           0.007210             0.007124            
49           0.007210             0.007124            
50           0.007210             0.007124            
51           0.007210             0.007124            
52           0.007210             0.007124            
53           0.007210             0.007124            
54           0.007210             0.007124            
55           0.007210             0.007124            
56           0.007210             0.007124            
57           0.007210             0.007124            
58           0.007210             0.007124            
59           0.007210             0.007124            
60           0.007210             0.007124            
61           0.007210             0.007124            
62           0.007210             0.007124            
63           0.007210             0.007124            
64           0.007210             0.007124            
65           0.007210             0.007124            
66           0.007210             0.007124            
67           0.007210             0.007124            
68           0.007210             0.007124            
69           0.007210             0.007124            
70           0.007210             0.007124            
71           0.007210             0.007124            
72           0.007210             0.007124            
73           0.007210             0.007124            
74           0.007210             0.007124            
75           0.007210             0.007124            
76           0.007210             0.007124            
77           0.007210             0.007124            
78           0.007210             0.007124            
79           0.007210             0.007124            
80           0.007869             0.007686            
81           0.008152             0.007971            
82           0.008152             0.007971            
83           0.008152             0.007971            
84           0.008152             0.007971            
85           0.008152             0.007971            
86           0.008152             0.007971            
87           0.008152             0.007971            
88           0.008152             0.007971            
89           0.008152             0.007971            
90           0.008152             0.007971            
91           0.008152             0.007971            
92           0.008152             0.007971            
93           0.008152             0.007971            
94           0.008152             0.007971            
95           0.008152             0.007971            
96           0.008152             0.007971            
97           0.008152             0.007971            
98           0.008152             0.007971            
99           0.008152             0.007971            


Experiment 1 Results (DTLearner RMSE vs. Leaf Size)
--------------------------------------------------
Leaf Size    In-Sample RMSE       Out-of-Sample RMSE  
-----------  -------------------- --------------------
1            0.000563             0.008632            
2            0.002186             0.008199            
3            0.003171             0.007924            
4            0.003177             0.007920            
5            0.004498             0.007458            
6            0.004621             0.007504            
7            0.004621             0.007504            
8            0.004621             0.007504            
9            0.004621             0.007504            
10           0.005506             0.007412            
11           0.005570             0.007395            
12           0.005570             0.007395            
13           0.005570             0.007395            
14           0.005570             0.007395            
15           0.005570             0.007395            
16           0.005570             0.007395            
17           0.005570             0.007395            
18           0.005570             0.007395            
19           0.005570             0.007395            
20           0.006257             0.007806            
21           0.006482             0.008135            
22           0.006482             0.008135            
23           0.006482             0.008135            
24           0.006482             0.008135            
25           0.006482             0.008135            
26           0.006482             0.008135            
27           0.006482             0.008135            
28           0.006482             0.008135            
29           0.006482             0.008135            
30           0.006482             0.008135            
31           0.006482             0.008135            
32           0.006482             0.008135            
33           0.006482             0.008135            
34           0.006482             0.008135            
35           0.006482             0.008135            
36           0.006482             0.008135            
37           0.006482             0.008135            
38           0.006482             0.008135            
39           0.006482             0.008135            
40           0.007237             0.008235            
41           0.007486             0.008177            
42           0.007486             0.008177            
43           0.007486             0.008177            
44           0.007486             0.008177            
45           0.007486             0.008177            
46           0.007486             0.008177            
47           0.007486             0.008177            
48           0.007486             0.008177            
49           0.007486             0.008177            
50           0.007486             0.008177            
51           0.007486             0.008177            
52           0.007486             0.008177            
53           0.007486             0.008177            
54           0.007486             0.008177            
55           0.007486             0.008177            
56           0.007486             0.008177            
57           0.007486             0.008177            
58           0.007486             0.008177            
59           0.007486             0.008177            
60           0.007486             0.008177            
61           0.007486             0.008177            
62           0.007486             0.008177            
63           0.007486             0.008177            
64           0.007486             0.008177            
65           0.007486             0.008177            
66           0.007486             0.008177            
67           0.007486             0.008177            
